I_Cant_Breathe_,This MUST STOP. #WalterScott #blacklivesmatter #icantbreathe #camerasallthetime by nucleus22 http://t.co/r9HL9hwOCE http://t.co/lGkCyujCWH
I_Cant_Breathe_,#WeCantBreathe #ICantBreathe by shaboomwithyaattitude84 http://t.co/ovKMze504I http://t.co/rPySl6pV3b
WmbfAndrea,RT @BeverlyNaya: I hope this man rots in hell! #RIPWalterScott #BlackLivesMatter #ICantBreathe http://t.co/bcDzWIRApi
BeverlyNaya,I hope this man rots in hell! #RIPWalterScott #BlackLivesMatter #ICantBreathe http://t.co/bcDzWIRApi
antharmony,RT @RepJeffries: Chilling video exposes what really happened to #WalterScott http://t.co/qSmFhZfB2S #PoliceViolence #ICantBreathe
TrentSabastian,@ZagGirl2015 its the same as being a Palestinian in Palestine and Israel. #freepalestine #BlackLivesMatter #ICantBreathe
Openvironment,This is insane. #StopKillingUs #BlackLivesMatter #AmericanLivesMatter #ICantBreathe http://t.co/uuhkdOI59C
ZagGirl2015,I can't imagine how frightening it must be to be a black man in America. #WalterScott #ICantBreathe #BlackLivesMatter
Lisa_Cannata,"RT @XxChasenxX: #makeAchange this continues to happen #enoughisenough #ICantBreathe #HandsUpDontShoot 
https://t.co/jvv9EGz0eC https://t.co…"
nucleus22,This MUST STOP. #WalterScott #blacklivesmatter #icantbreathe #camerasallthetime https://t.co/R5K2kKfhF7
